GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
UIAMURRAY      ,1-Nov-23,1-Nov-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Dec-23,1-Dec-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jan-24,1-Jan-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Feb-24,1-Feb-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Mar-24,1-Mar-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Apr-24,1-Apr-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-May-24,1-May-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jun-24,1-Jun-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-24,1-Jul-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-24,1-Aug-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-24,1-Sep-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-24,1-Oct-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Nov-24,1-Nov-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Dec-24,1-Dec-24,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jan-25,1-Jan-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Feb-25,1-Feb-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Mar-25,1-Mar-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Apr-25,1-Apr-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-May-25,1-May-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jun-25,1-Jun-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-25,1-Jul-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-25,1-Aug-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-25,1-Sep-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-25,1-Oct-25,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Nov-25,1-Nov-25,25,Simpson441 20 - YEAR           
TAYLOR52197    ,26-Apr-15,1-Apr-15,30,EPIV00000042761                
COWAN1695      ,25-Mar-13,1-Mar-13,30,Contract UIA-63213-2           
CRUZ5083       ,25-Mar-13,1-Mar-13,30,Contract UIAL2151JC            
DULONG2565     ,25-Mar-13,1-Mar-13,30,Contract UIAL7286JF            
FARMER5482     ,25-Mar-13,1-Mar-13,30,Contract UIAL0430SM            
FOSTER1633     ,25-Mar-13,1-Mar-13,30,Contract UIAL7003SM            
FRANDSEN2519   ,25-Mar-13,1-Mar-13,39,Contract UIALTO1               
GIBSON1685     ,25-Mar-13,1-Mar-13,30,Contract UIA-300312-           
HASLAM2126     ,25-Mar-13,1-Mar-13,25,Contract UIAR0841              
HEINER1721     ,25-Mar-13,1-Mar-13,30,Contract UIAL7205LM            
HESS1779       ,25-Mar-13,1-Mar-13,30,Contract UIA-270537-           
HUGHES1841     ,25-Mar-13,1-Mar-13,30,Contract UIAL9189BF            
JONES2168      ,25-Mar-13,1-Mar-13,25,Contract UIAR0813              
KINLACHEE2177  ,25-Mar-13,1-Mar-13,25,Contract UIAR8395a             
LOCKHART1646   ,25-Mar-13,1-Mar-13,30,Contract UIAL2672AC            
LYMAN2209      ,25-Mar-13,1-Mar-13,25,Contract UIAR0860              
MARTIN1816     ,25-Mar-13,1-Mar-13,30,Contract UIAL1293DH            
MARTINEZ1880   ,25-Mar-13,1-Mar-13,30,Contract UIAL0023JC            
MCCLUSKEY2225  ,25-Mar-13,1-Mar-13,25,Contract UIAR1492              
MCRAE2230      ,25-Mar-13,1-Mar-13,25,Contract UIAR4680              
MELTON1653     ,25-Mar-13,1-Mar-13,30,Contract UIAL9641RT            
MILLER1844     ,25-Mar-13,1-Mar-13,30,Contract UIAL1850JC            
MOORE1643      ,25-Mar-13,1-Mar-13,30,Contract UIAL5290JC            
MORRIS2523     ,25-Mar-13,1-Mar-13,39,Contract UIALTO5               
NIELSEN3503    ,25-Mar-13,1-Mar-13,30,Contract UIA-56827-4           
NIELSON2265    ,25-Mar-13,1-Mar-13,25,Contract UIAR3456              
UIAMIDVALE     ,1-Sep-23,1-Sep-23,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Oct-23,1-Oct-23,25,Schofield877 20 - YEAR         
