GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
FOWLKSWA8327   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150245      
FOX57586       ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152295      
FOZZARD56073   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151886      
FRAMPTON54510  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148523      
FRAMPTON56989  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153215      
FRANCE54390    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153239      
FRANCIS56936   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148601      
FRANCIS60427   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149747      
FRANCIS60893   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000142719      
FRANCIS60893   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148611      
FRANCOM56676   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148359      
FRANCOM57292   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148565      
FRANDSEN2519   ,1-Sep-2012,25-Sep-2012,39.00,SCHED00002606        
FRANDSEN2519   ,1-Feb-2013,25-Feb-2013,39.00,SCHED00009138        
FRANDSEN2519   ,1-Nov-2012,25-Nov-2012,39.00,SCHED00004618        
FRANDSEN2519   ,1-Jan-2013,25-Jan-2013,39.00,SCHED00007840        
FRANDSEN2519   ,1-Mar-2013,25-Mar-2013,39.00,SCHED00010275        
FRANDSEN2519   ,1-Dec-2012,25-Dec-2012,39.00,SCHED00006477        
FRANDSEN2519   ,1-Aug-2012,1-Aug-2012,39.00,SCHED00001725        
FRANDSEN2519   ,1-Oct-2012,25-Oct-2012,39.00,SCHED00003560        
FRANDSEN56736  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147609      
FRANK58834     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152525      
FRANK59235     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148829      
FRAUGHTON51587 ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000148921      
FRAZIER57373   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151683      
FRAZIER60716   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151856      
FREDERICK1591  ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000149688      
FREDICKSON52301,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149678      
FREE53942      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149219      
FREEMAN5189    ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000147968      
FREEMAN51944   ,1-Jul-2015,26-Jul-2015,30.00,EPIV00000051302      
FREEMAN55439   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151781      
FREESTONE54691 ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152214      
FREEZE53216    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148704      
FRESQUES2374   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149049      
FREYMILLER60971,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147598      
FRIDAL54827    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149068      
FRISBY57045    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148833      
FRITZ52463     ,1-Jan-2015,26-Jan-2015,30.00,EPIV00000036375      
FRITZ52463     ,1-Feb-2015,26-Feb-2015,30.00,EPIV00000038504      
FRITZ52463     ,1-Apr-2015,26-Apr-2015,30.00,EPIV00000042956      
FRITZ52463     ,1-Dec-2014,26-Dec-2014,30.00,EPIV00000034282      
FRITZ52463     ,1-Mar-2015,26-Mar-2015,30.00,EPIV00000040701      
FRONK53684     ,16-Feb-2017,1-Jan-1900,-60.00,WEBPMT0000088940     
FUGATE61225    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152566      
FUHRIMAN58302  ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000145532      
FUHRIMAN58302  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151527      
FUHRIMAN61205  ,2-Jun-2017,27-Jun-2017,30.00,EPIV00000147393      
FUHRIMAN61205  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151912      
FUJINO58155    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147719      
FULGHAM2507    ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000149349      
FULLER54362    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152449      
FULLER59033    ,1-Jul-2017,26-Jul-2017,25.00,EPIV00000150196      
FULLER59754    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000151155      
FULLMER55156   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150234      
FULLMER59400   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000153242      
FUNN54902      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149936      
